,Driver,DriverNumber,Team,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,SpeedFL,Compound,LapTime,Gap_to_P1_s
1,LEC,16,Ferrari,80.267,28.205,17.472,34.59,309.0,SOFT,1:20.267,0.0
2,HAM,44,Ferrari,80.736,28.448,17.607,34.681,307.0,SOFT,1:20.736,0.469
3,VER,3,Red Bull Racing,80.789,28.362,17.673,34.754,293.0,SOFT,1:20.789,0.522
4,HAD,6,Red Bull Racing,81.087,28.621,17.62,34.846,282.0,SOFT,1:21.087,0.82
5,LIN,41,Racing Bulls,81.313,28.681,17.444,35.188,290.0,SOFT,1:21.313,1.046
6,PIA,81,McLaren,81.342,28.166,18.287,34.889,295.0,SOFT,1:21.342,1.075
7,RUS,63,Mercedes,81.371,28.517,17.87,34.984,297.0,SOFT,1:21.371,1.104
8,ANT,12,Mercedes,81.376,28.49,17.976,34.91,278.0,SOFT,1:21.376,1.109
9,BOR,5,Audi,81.696,28.432,17.955,35.309,294.0,SOFT,1:21.696,1.429
10,HUL,27,Audi,81.969,28.902,17.972,35.095,296.0,SOFT,1:21.969,1.702
11,OCO,31,Haas F1 Team,82.161,29.123,17.704,35.334,303.0,SOFT,1:22.161,1.894
12,SAI,55,Williams,82.323,28.868,18.091,35.364,292.0,SOFT,1:22.323,2.056
13,LAW,30,Racing Bulls,82.613,29.136,18.008,35.469,293.0,MEDIUM,1:22.613,2.346
14,BEA,87,Haas F1 Team,82.682,29.112,17.976,35.594,299.0,SOFT,1:22.682,2.415
15,ALB,23,Williams,83.13,29.116,18.373,35.641,286.0,SOFT,1:23.130,2.863
16,COL,43,Alpine,83.325,29.105,18.16,36.06,306.0,SOFT,1:23.325,3.058
17,BOT,77,Cadillac,84.022,29.486,18.053,36.483,301.0,SOFT,1:24.022,3.755
18,GAS,10,Alpine,84.035,28.982,18.597,36.456,295.0,SOFT,1:24.035,3.768
19,NOR,1,McLaren,84.391,29.862,18.361,36.168,286.0,MEDIUM,1:24.391,4.124
20,PER,11,Cadillac,84.62,29.655,18.329,36.636,303.0,SOFT,1:24.620,4.353
21,STR,18,Aston Martin,110.334,41.721,22.777,45.836,261.0,HARD,1:50.334,30.067
