Driver,DriverNumber,Team,LapNumber,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,TrackStatus,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,PitInTime_s,PitOutTime_s
NOR,1,McLaren,1.0,231.0,252.0,274.0,90.0,SOFT,1.0,True,False,1,148.3,80.197,21.307,46.796,,1850.452
NOR,1,McLaren,2.0,251.0,282.0,269.0,276.0,SOFT,2.0,True,True,12,100.995,34.687,20.724,45.584,,
NOR,1,McLaren,3.0,276.0,277.0,180.0,275.0,SOFT,3.0,True,True,26,87.517,28.821,17.877,40.819,,
NOR,1,McLaren,4.0,175.0,263.0,198.0,110.0,SOFT,4.0,True,False,6,129.252,48.332,25.025,55.895,,
NOR,1,McLaren,5.0,216.0,255.0,,263.0,SOFT,5.0,True,False,6512,,40.239,27.328,,2428.673,
NOR,1,McLaren,6.0,250.0,282.0,278.0,149.0,SOFT,6.0,False,False,1,,93.72,20.735,40.271,,2823.369
NOR,1,McLaren,7.0,276.0,267.0,284.0,289.0,SOFT,7.0,False,True,1,81.438,28.357,18.139,34.942,,
NOR,1,McLaren,8.0,201.0,209.0,220.0,113.0,SOFT,8.0,False,False,1,116.975,41.083,25.693,50.199,,
NOR,1,McLaren,9.0,201.0,217.0,275.0,175.0,SOFT,9.0,False,False,1,115.536,38.567,25.496,51.473,,
NOR,1,McLaren,10.0,179.0,284.0,276.0,288.0,SOFT,10.0,False,False,1,95.658,36.34,20.518,38.8,,
NOR,1,McLaren,11.0,276.0,269.0,283.0,284.0,SOFT,11.0,False,True,1,81.163,28.4,17.983,34.78,,
NOR,1,McLaren,12.0,205.0,221.0,187.0,238.0,SOFT,12.0,False,False,12,112.408,39.435,25.198,47.775,,
NOR,1,McLaren,13.0,246.0,164.0,281.0,186.0,SOFT,13.0,False,False,21,105.721,35.779,24.101,45.841,,
NOR,1,McLaren,14.0,265.0,277.0,289.0,288.0,SOFT,14.0,False,False,1,81.458,28.298,17.807,35.353,,
NOR,1,McLaren,15.0,161.0,214.0,277.0,141.0,SOFT,15.0,False,False,1,110.214,39.663,24.962,45.589,,
NOR,1,McLaren,16.0,261.0,274.0,284.0,284.0,SOFT,16.0,False,True,1,81.039,28.496,17.932,34.611,,
NOR,1,McLaren,17.0,231.0,257.0,,232.0,SOFT,17.0,False,False,125,,32.35,20.925,,3997.139,
NOR,1,McLaren,18.0,256.0,269.0,277.0,185.0,SOFT,1.0,True,False,1,,,20.151,39.354,,4923.677
NOR,1,McLaren,19.0,268.0,277.0,281.0,284.0,SOFT,2.0,True,True,1,80.443,28.224,17.784,34.435,,
NOR,1,McLaren,20.0,239.0,256.0,300.0,255.0,SOFT,3.0,True,False,1,87.635,31.166,20.78,35.689,,
NOR,1,McLaren,21.0,196.0,214.0,3.0,286.0,SOFT,4.0,True,False,1,,37.383,24.431,,,
NOR,1,McLaren,22.0,264.0,257.0,,163.0,SOFT,5.0,True,False,1,,37.138,18.221,,5451.311,
VER,3,Red Bull Racing,1.0,245.0,282.0,281.0,175.0,SOFT,1.0,True,False,1,,,20.328,39.272,,2841.586
VER,3,Red Bull Racing,2.0,283.0,280.0,304.0,302.0,SOFT,2.0,True,True,1,80.979,28.38,17.776,34.823,,
VER,3,Red Bull Racing,3.0,180.0,239.0,,222.0,SOFT,3.0,True,False,1,136.003,46.401,24.626,64.976,3139.223,
VER,3,Red Bull Racing,4.0,244.0,198.0,283.0,185.0,SOFT,4.0,False,False,1,103.25,38.758,20.623,43.869,,3162.01
VER,3,Red Bull Racing,5.0,281.0,273.0,303.0,303.0,SOFT,5.0,False,True,1,80.508,28.061,17.905,34.542,,
VER,3,Red Bull Racing,6.0,193.0,266.0,313.0,214.0,SOFT,6.0,False,False,1,103.15,43.571,20.726,38.853,,
VER,3,Red Bull Racing,7.0,294.0,291.0,296.0,316.0,SOFT,7.0,False,False,12,82.062,28.356,18.281,35.425,,
VER,3,Red Bull Racing,8.0,277.0,298.0,299.0,292.0,SOFT,8.0,False,False,21,84.351,30.935,17.951,35.465,,
VER,3,Red Bull Racing,9.0,299.0,305.0,284.0,299.0,SOFT,9.0,False,False,1,81.973,28.33,17.671,35.972,,
VER,3,Red Bull Racing,10.0,296.0,290.0,295.0,285.0,SOFT,10.0,False,False,1,82.186,28.563,18.106,35.517,,
VER,3,Red Bull Racing,11.0,260.0,288.0,,,SOFT,11.0,False,False,125,,29.873,18.903,,3860.583,
VER,3,Red Bull Racing,12.0,252.0,269.0,287.0,75.0,SOFT,1.0,True,False,1,118.928,55.03,19.31,44.588,,5017.284
VER,3,Red Bull Racing,13.0,280.0,273.0,312.0,306.0,SOFT,2.0,True,True,1,80.197,27.798,17.902,34.497,,
VER,3,Red Bull Racing,14.0,182.0,242.0,119.0,234.0,SOFT,3.0,True,False,1,,41.294,23.22,,,
VER,3,Red Bull Racing,15.0,257.0,282.0,,255.0,SOFT,4.0,True,False,1,,30.688,18.307,,5464.702,
BOR,5,Audi,1.0,235.0,233.0,268.0,157.0,SOFT,1.0,True,False,1,124.999,62.469,21.053,41.477,,1720.21
BOR,5,Audi,2.0,247.0,231.0,265.0,278.0,SOFT,2.0,True,True,1,98.239,32.291,20.754,45.194,,
BOR,5,Audi,3.0,247.0,285.0,304.0,282.0,SOFT,3.0,True,True,1,82.287,29.181,17.806,35.3,,
BOR,5,Audi,4.0,129.0,228.0,268.0,249.0,SOFT,4.0,True,False,12,130.034,49.105,28.953,51.976,,
BOR,5,Audi,5.0,250.0,119.0,172.0,285.0,SOFT,5.0,True,False,26,135.482,28.806,39.516,67.16,,
BOR,5,Audi,6.0,242.0,225.0,,240.0,SOFT,6.0,True,False,6512,,33.89,20.612,,2528.743,
BOR,5,Audi,7.0,237.0,231.0,267.0,61.0,SOFT,7.0,False,False,1,120.019,57.364,20.938,41.717,,2912.228
BOR,5,Audi,8.0,248.0,232.0,283.0,270.0,SOFT,8.0,False,False,1,90.446,31.192,20.392,38.862,,
BOR,5,Audi,9.0,235.0,231.0,270.0,294.0,SOFT,9.0,False,False,1,95.592,34.874,20.48,40.238,,
BOR,5,Audi,10.0,251.0,289.0,299.0,287.0,SOFT,10.0,False,True,1,80.575,28.531,17.411,34.633,,
BOR,5,Audi,11.0,240.0,169.0,268.0,169.0,SOFT,11.0,False,False,1,127.469,37.426,31.772,58.271,,
BOR,5,Audi,12.0,248.0,282.0,,284.0,SOFT,12.0,False,False,12,,28.68,17.716,,3505.015,
BOR,5,Audi,13.0,247.0,234.0,202.0,188.0,SOFT,1.0,True,False,12,102.19,39.183,20.501,42.506,,4288.409
BOR,5,Audi,14.0,,,,153.0,SOFT,2.0,True,False,251,,,,,4546.76,
BOR,5,Audi,15.0,242.0,233.0,279.0,173.0,SOFT,3.0,False,False,1,128.955,69.333,20.585,39.037,,4957.762
BOR,5,Audi,16.0,254.0,281.0,304.0,290.0,SOFT,4.0,False,True,1,80.459,28.42,17.505,34.534,,
BOR,5,Audi,17.0,216.0,235.0,272.0,285.0,SOFT,5.0,False,False,1,111.594,43.72,21.031,46.843,,
BOR,5,Audi,18.0,237.0,221.0,194.0,208.0,SOFT,6.0,False,False,1,,35.841,21.282,,,
BOR,5,Audi,19.0,218.0,281.0,,221.0,SOFT,7.0,False,False,1,,35.91,21.039,,5521.155,
HAD,6,Red Bull Racing,1.0,235.0,286.0,279.0,110.0,SOFT,1.0,True,False,1,120.651,56.397,20.574,43.68,,2852.948
HAD,6,Red Bull Racing,2.0,264.0,286.0,314.0,299.0,SOFT,2.0,True,True,1,81.311,28.601,17.632,35.078,,
