,Driver,DriverNumber,Team,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,SpeedFL,Compound,LapTime,Gap_to_P1_s
1,RUS,63,Mercedes,79.053,27.77,17.276,34.007,307.0,SOFT,1:19.053,0.0
2,HAM,44,Ferrari,79.669,28.01,17.431,34.228,299.0,SOFT,1:19.669,0.616
3,LEC,16,Ferrari,79.827,27.915,17.54,34.372,304.0,SOFT,1:19.827,0.774
4,PIA,81,McLaren,80.087,28.31,17.565,34.212,297.0,SOFT,1:20.087,1.034
5,HAD,6,Red Bull Racing,80.137,28.097,17.725,34.315,307.0,SOFT,1:20.137,1.084
6,VER,3,Red Bull Racing,80.197,27.798,17.902,34.497,312.0,SOFT,1:20.197,1.144
7,ANT,12,Mercedes,80.324,28.23,17.582,34.512,299.0,SOFT,1:20.324,1.271
8,NOR,1,McLaren,80.443,28.224,17.784,34.435,281.0,SOFT,1:20.443,1.39
9,BOR,5,Audi,80.459,28.42,17.505,34.534,304.0,SOFT,1:20.459,1.406
10,BEA,87,Haas F1 Team,80.778,28.696,17.567,34.515,305.0,SOFT,1:20.778,1.725
11,LIN,41,Racing Bulls,80.838,28.624,17.589,34.625,296.0,SOFT,1:20.838,1.785
12,LAW,30,Racing Bulls,80.89,28.57,17.607,34.713,306.0,HARD,1:20.890,1.837
13,OCO,31,Haas F1 Team,80.983,28.643,17.645,34.695,309.0,SOFT,1:20.983,1.93
14,HUL,27,Audi,81.067,28.434,17.717,34.916,309.0,SOFT,1:21.067,2.014
15,GAS,10,Alpine,81.071,28.456,17.75,34.865,315.0,SOFT,1:21.071,2.018
16,COL,43,Alpine,81.413,28.684,17.739,34.99,306.0,SOFT,1:21.413,2.36
17,ALB,23,Williams,81.664,28.869,17.8,34.995,290.0,SOFT,1:21.664,2.611
18,ALO,14,Aston Martin,82.72,29.185,18.179,35.356,292.0,SOFT,1:22.720,3.667
19,BOT,77,Cadillac,83.514,29.481,18.237,35.796,300.0,SOFT,1:23.514,4.461
20,PER,11,Cadillac,84.397,29.862,18.168,36.367,298.0,MEDIUM,1:24.397,5.344
