Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 01:23:53.675000,20.5,60.4,1013.6,False,31.7,112,4.2
0 days 01:24:53.713000,20.5,60.6,1013.6,False,31.6,103,2.7
0 days 01:25:53.714000,20.5,60.5,1013.6,False,31.6,79,1.8
0 days 01:26:53.754000,20.5,60.7,1013.6,False,31.5,84,2.2
0 days 01:27:53.751000,20.5,60.6,1013.6,False,31.5,101,2.5
0 days 01:28:53.770000,20.4,60.6,1013.6,False,31.6,116,2.5
0 days 01:29:53.770000,20.4,60.7,1013.6,False,31.6,96,2.3
0 days 01:30:53.783000,20.4,60.9,1013.7,False,31.6,104,1.9
0 days 01:31:53.773000,20.4,60.4,1013.6,False,31.3,100,4.3
0 days 01:32:53.780000,20.4,59.3,1013.6,False,31.1,112,4.8
0 days 01:33:53.771000,20.4,59.0,1013.6,False,31.5,109,2.6
0 days 01:34:53.777000,20.4,59.1,1013.7,False,31.4,126,1.5
