Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:52.135000,22.5,59.5,1012.0,False,31.6,11,0.4
0 days 00:01:52.134000,22.5,60.4,1012.0,False,31.5,103,2.1
0 days 00:02:52.135000,22.4,60.5,1012.0,False,31.6,153,0.3
0 days 00:03:52.137000,22.4,61.3,1012.0,False,31.7,97,2.1
0 days 00:04:52.153000,22.4,60.7,1012.0,False,31.3,14,1.3
0 days 00:05:52.157000,22.5,60.7,1011.9,False,31.5,148,1.6
0 days 00:06:52.185000,22.6,60.3,1011.9,False,31.7,49,0.9
0 days 00:07:52.185000,22.5,60.1,1012.0,False,31.5,122,0.8
0 days 00:08:52.180000,22.4,60.3,1011.9,False,31.6,34,0.8
0 days 00:09:52.178000,22.4,61.2,1011.9,False,31.4,133,0.8
0 days 00:10:52.195000,22.4,60.2,1011.8,False,31.4,125,1.8
0 days 00:11:52.189000,22.4,61.1,1011.9,False,31.3,92,1.6
0 days 00:12:52.207000,22.4,61.0,1011.8,False,31.2,12,0.8
0 days 00:13:52.212000,22.4,61.1,1011.9,False,31.3,129,2.7
0 days 00:14:52.222000,22.4,61.5,1011.8,False,31.7,74,1.9
0 days 00:15:52.212000,22.4,62.0,1011.9,False,31.7,106,1.4
0 days 00:16:52.214000,22.5,61.5,1011.8,False,32.0,68,1.0
0 days 00:17:52.225000,22.5,61.4,1011.8,False,31.6,91,1.0
0 days 00:18:52.241000,22.5,60.0,1011.8,False,32.1,73,1.1
0 days 00:19:52.255000,22.4,60.4,1011.8,False,31.8,102,2.0
0 days 00:20:52.257000,22.5,61.1,1011.8,False,31.6,117,2.1
0 days 00:21:52.245000,22.5,62.3,1011.8,False,31.6,100,2.8
0 days 00:22:52.260000,22.6,62.5,1011.8,False,31.5,97,1.5
0 days 00:23:52.265000,22.6,63.5,1011.7,False,31.9,114,2.1
0 days 00:24:52.278000,22.7,62.9,1011.8,False,32.2,95,2.3
0 days 00:25:52.261000,22.7,62.2,1011.7,False,32.5,103,1.9
0 days 00:26:52.268000,22.9,60.7,1011.8,False,32.2,121,2.1
0 days 00:27:52.265000,22.9,60.7,1011.8,False,32.1,111,1.7
0 days 00:28:52.284000,22.8,61.7,1011.7,False,32.1,102,2.8
0 days 00:29:52.280000,22.6,62.5,1011.7,False,31.8,107,3.5
0 days 00:30:52.283000,22.5,62.4,1011.8,False,31.9,103,3.4
0 days 00:31:52.282000,22.6,63.0,1011.7,False,31.9,99,3.1
0 days 00:32:52.283000,22.6,63.0,1011.7,False,31.8,107,3.7
0 days 00:33:52.300000,22.6,63.5,1011.8,False,31.8,118,3.8
0 days 00:34:52.288000,22.6,64.3,1011.7,False,32.5,134,1.5
0 days 00:35:52.303000,21.9,64.8,1011.7,False,32.4,129,2.1
0 days 00:36:52.328000,22.7,65.1,1011.7,False,33.0,115,1.7
0 days 00:37:52.334000,22.6,64.6,1011.7,False,33.4,90,2.3
0 days 00:38:52.357000,22.6,63.6,1011.8,False,33.2,113,2.4
0 days 00:39:52.355000,22.6,63.8,1011.8,False,33.1,119,3.2
0 days 00:40:52.364000,22.5,64.9,1011.7,False,33.0,113,2.0
0 days 00:41:52.365000,22.5,64.6,1011.6,False,33.4,106,3.2
0 days 00:42:52.353000,22.5,64.7,1011.6,False,33.7,129,1.0
0 days 00:43:52.352000,22.6,64.8,1011.7,False,33.6,135,0.9
0 days 00:44:52.367000,22.5,63.7,1011.6,False,33.7,94,2.8
0 days 00:45:52.370000,22.5,64.6,1011.6,False,33.7,93,2.3
0 days 00:46:52.405000,22.0,64.6,1011.6,False,33.7,93,2.3
0 days 00:47:52.401000,22.3,64.6,1011.6,False,33.7,93,2.3
0 days 00:48:52.420000,22.6,64.2,1011.5,False,33.7,101,3.4
0 days 00:49:52.432000,22.5,64.6,1011.6,False,33.8,103,2.7
0 days 00:50:52.468000,22.1,64.6,1011.6,False,33.8,103,2.7
0 days 00:51:52.499000,22.4,66.5,1011.5,False,34.4,114,2.3
0 days 00:52:52.487000,22.4,66.2,1011.7,False,34.2,103,2.3
0 days 00:53:52.499000,22.4,66.2,1011.5,False,34.5,106,3.0
0 days 00:54:52.501000,22.4,66.1,1011.6,False,34.5,107,3.4
0 days 00:55:52.503000,21.9,66.1,1011.6,False,34.5,107,3.4
0 days 00:56:52.520000,22.3,65.2,1011.6,False,34.7,120,2.3
0 days 00:57:52.552000,22.3,66.2,1011.6,False,34.3,104,1.4
0 days 00:58:52.534000,22.4,65.8,1011.5,False,34.2,104,3.5
0 days 00:59:52.549000,22.4,66.3,1011.5,False,34.7,95,2.7
0 days 01:00:52.586000,22.3,66.6,1011.6,False,34.7,104,2.4
0 days 01:01:52.585000,22.3,67.1,1011.5,False,34.9,106,2.7
0 days 01:02:52.589000,22.4,66.5,1011.5,False,34.8,95,3.0
0 days 01:03:52.586000,22.5,67.2,1011.5,False,35.3,123,1.9
0 days 01:04:52.588000,22.4,67.1,1011.5,False,35.0,102,3.2
0 days 01:05:52.604000,22.5,65.1,1011.4,False,35.1,108,1.8
0 days 01:06:52.604000,22.5,66.4,1011.5,False,34.9,84,2.5
0 days 01:07:52.621000,21.9,66.4,1011.5,False,34.9,84,2.5
0 days 01:08:52.614000,22.4,66.7,1011.5,False,36.0,83,2.3
0 days 01:09:52.637000,22.5,65.6,1011.5,False,35.6,106,4.2
0 days 01:10:52.669000,22.3,64.9,1011.5,False,35.6,138,2.2
0 days 01:11:52.668000,22.5,66.2,1011.5,False,36.0,130,2.6
0 days 01:12:52.671000,22.5,66.6,1011.5,False,35.4,104,2.7
0 days 01:13:52.669000,22.4,65.9,1011.5,False,35.7,106,2.3
0 days 01:14:52.673000,22.8,66.9,1011.5,False,35.9,102,2.6
0 days 01:15:52.687000,22.4,66.7,1011.5,False,35.8,78,2.5
0 days 01:16:52.704000,21.8,66.7,1011.5,False,35.8,78,2.5
0 days 01:17:52.722000,22.3,67.2,1011.6,False,36.0,71,2.1
0 days 01:18:52.738000,22.4,67.9,1011.4,False,36.3,125,1.3
