Driver,DriverNumber,Team,LapNumber,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,TrackStatus,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,PitInTime_s,PitOutTime_s
NOR,1,McLaren,1.0,244.0,219.0,281.0,62.0,HARD,1.0,True,False,1,,,23.001,44.046,,779.921
NOR,1,McLaren,2.0,255.0,291.0,274.0,292.0,HARD,2.0,True,True,12,85.952,29.509,18.38,38.063,,
NOR,1,McLaren,3.0,257.0,294.0,148.0,159.0,HARD,3.0,True,False,1,98.255,32.037,19.145,47.073,,
NOR,1,McLaren,4.0,128.0,159.0,,141.0,HARD,4.0,True,False,1,,52.162,32.327,,1217.78,
NOR,1,McLaren,5.0,261.0,291.0,296.0,180.0,HARD,5.0,False,False,1,96.899,36.873,18.865,41.161,,1647.972
NOR,1,McLaren,6.0,258.0,304.0,293.0,297.0,HARD,6.0,False,True,1,82.712,28.873,17.857,35.982,,
NOR,1,McLaren,7.0,265.0,293.0,280.0,274.0,HARD,7.0,False,False,1,83.473,29.399,18.015,36.059,,
NOR,1,McLaren,8.0,269.0,293.0,280.0,266.0,HARD,8.0,False,True,1,82.69,28.904,18.126,35.66,,
NOR,1,McLaren,9.0,259.0,292.0,293.0,274.0,HARD,9.0,False,False,1,83.03,29.129,18.09,35.811,,
NOR,1,McLaren,10.0,228.0,247.0,,225.0,HARD,10.0,False,False,1,116.751,37.471,21.2,58.08,2171.361,
NOR,1,McLaren,11.0,254.0,292.0,282.0,89.0,HARD,11.0,False,False,1,104.336,40.07,19.677,44.589,,2193.807
NOR,1,McLaren,12.0,274.0,292.0,310.0,295.0,HARD,12.0,False,True,1,81.94,28.775,17.974,35.191,,
NOR,1,McLaren,13.0,246.0,228.0,,251.0,HARD,13.0,False,False,1,,32.937,20.772,,2469.925,
NOR,1,McLaren,14.0,252.0,275.0,288.0,164.0,SOFT,1.0,True,False,1,106.937,42.277,19.735,44.925,,3146.384
NOR,1,McLaren,15.0,265.0,297.0,295.0,309.0,SOFT,2.0,True,True,1,80.794,28.196,17.913,34.685,,
NOR,1,McLaren,16.0,163.0,162.0,168.0,237.0,SOFT,3.0,True,False,1,116.348,37.959,28.972,49.417,,
NOR,1,McLaren,17.0,224.0,161.0,297.0,164.0,SOFT,4.0,True,False,1,110.04,39.624,27.379,43.037,,
NOR,1,McLaren,18.0,272.0,296.0,299.0,289.0,SOFT,5.0,True,False,1,80.95,28.187,17.905,34.858,,
NOR,1,McLaren,19.0,205.0,186.0,297.0,237.0,SOFT,6.0,True,False,1,105.89,39.779,25.393,40.718,,
NOR,1,McLaren,20.0,272.0,304.0,307.0,296.0,SOFT,7.0,True,False,1,84.917,28.091,17.76,39.066,,
NOR,1,McLaren,21.0,258.0,302.0,313.0,281.0,SOFT,8.0,True,False,1,83.385,29.087,18.073,36.225,,
NOR,1,McLaren,22.0,260.0,295.0,290.0,282.0,SOFT,9.0,True,False,1,82.989,29.171,17.995,35.823,,
NOR,1,McLaren,23.0,266.0,293.0,167.0,274.0,SOFT,10.0,True,False,126,95.888,28.648,18.149,49.091,,
NOR,1,McLaren,24.0,202.0,300.0,283.0,158.0,SOFT,11.0,True,False,671,92.487,37.28,19.295,35.912,,
NOR,1,McLaren,25.0,259.0,302.0,285.0,269.0,SOFT,12.0,True,False,1,88.124,29.532,17.715,40.877,,
NOR,1,McLaren,26.0,268.0,299.0,304.0,277.0,SOFT,13.0,True,False,1,83.604,28.811,17.857,36.936,,
NOR,1,McLaren,27.0,255.0,263.0,288.0,301.0,SOFT,14.0,True,False,1,85.274,29.207,18.735,37.332,,
NOR,1,McLaren,28.0,215.0,198.0,147.0,271.0,SOFT,15.0,True,False,1,,34.218,24.905,97.989,,
NOR,1,McLaren,29.0,227.0,239.0,,257.0,SOFT,16.0,True,False,1,,33.85,19.255,,4695.613,
VER,3,Red Bull Racing,1.0,233.0,267.0,280.0,179.0,MEDIUM,1.0,True,False,1,107.564,40.495,21.505,45.564,,2321.876
VER,3,Red Bull Racing,2.0,244.0,294.0,299.0,298.0,MEDIUM,2.0,True,True,1,82.21,28.962,18.187,35.061,,
VER,3,Red Bull Racing,3.0,171.0,203.0,277.0,226.0,MEDIUM,3.0,True,False,1,121.533,45.033,27.902,48.598,,
VER,3,Red Bull Racing,4.0,251.0,291.0,301.0,299.0,MEDIUM,4.0,True,True,1,81.08,28.537,17.642,34.901,,
VER,3,Red Bull Racing,5.0,235.0,287.0,,243.0,MEDIUM,5.0,True,False,1,107.397,32.679,19.508,55.21,2801.661,
VER,3,Red Bull Racing,6.0,227.0,266.0,284.0,207.0,SOFT,1.0,True,False,1,100.261,38.96,21.168,40.133,,2821.827
VER,3,Red Bull Racing,7.0,250.0,287.0,291.0,303.0,SOFT,2.0,True,True,1,80.366,28.149,17.57,34.647,,
VER,3,Red Bull Racing,8.0,247.0,287.0,,236.0,SOFT,3.0,True,False,1,,33.104,19.371,,3088.703,
VER,3,Red Bull Racing,9.0,259.0,287.0,289.0,211.0,MEDIUM,6.0,False,False,1,,97.242,18.623,44.244,,3480.211
VER,3,Red Bull Racing,10.0,243.0,293.0,289.0,284.0,MEDIUM,7.0,False,False,1,84.588,29.773,18.335,36.48,,
VER,3,Red Bull Racing,11.0,244.0,297.0,287.0,285.0,MEDIUM,8.0,False,False,1,88.706,29.773,18.188,40.745,,
VER,3,Red Bull Racing,12.0,243.0,293.0,292.0,281.0,MEDIUM,9.0,False,False,1,84.918,29.923,18.401,36.594,,
VER,3,Red Bull Racing,13.0,244.0,278.0,,288.0,MEDIUM,10.0,False,False,1,,29.709,20.285,,3948.65,
BOR,5,Audi,1.0,234.0,239.0,266.0,60.0,MEDIUM,1.0,True,False,12,,82.869,20.907,49.652,,840.258
BOR,5,Audi,2.0,250.0,283.0,277.0,283.0,MEDIUM,2.0,True,True,1,96.609,29.889,18.511,48.209,,
BOR,5,Audi,3.0,270.0,276.0,297.0,291.0,MEDIUM,3.0,True,True,1,83.007,28.895,18.401,35.711,,
BOR,5,Audi,4.0,181.0,185.0,275.0,208.0,MEDIUM,4.0,True,False,1,133.666,50.435,30.751,52.48,,
BOR,5,Audi,5.0,252.0,291.0,,290.0,MEDIUM,5.0,True,False,1,112.487,29.159,17.871,65.457,1385.61,
BOR,5,Audi,6.0,237.0,259.0,277.0,133.0,MEDIUM,6.0,False,False,1,102.132,40.763,20.335,41.034,,1413.324
BOR,5,Audi,7.0,271.0,280.0,297.0,289.0,MEDIUM,7.0,False,True,1,81.99,28.553,17.918,35.519,,
BOR,5,Audi,8.0,116.0,233.0,,298.0,MEDIUM,8.0,False,False,1,,42.466,31.24,,1707.07,
BOR,5,Audi,9.0,241.0,248.0,276.0,164.0,SOFT,1.0,True,False,1,129.047,61.04,20.4,47.607,,2185.502
BOR,5,Audi,10.0,230.0,193.0,278.0,284.0,SOFT,2.0,True,False,1,105.317,32.803,20.891,51.623,,
BOR,5,Audi,11.0,271.0,284.0,297.0,290.0,SOFT,3.0,True,True,1,81.668,28.427,17.76,35.481,,
BOR,5,Audi,12.0,127.0,151.0,265.0,213.0,SOFT,4.0,True,False,1,,47.051,38.766,65.423,,
BOR,5,Audi,13.0,244.0,233.0,279.0,282.0,SOFT,5.0,True,False,1,89.097,30.177,20.515,38.405,,
BOR,5,Audi,14.0,272.0,278.0,295.0,291.0,SOFT,6.0,True,False,1,81.921,28.346,17.839,35.736,,
BOR,5,Audi,15.0,239.0,256.0,,205.0,SOFT,7.0,True,False,1,,40.662,20.194,,2919.978,
