session,Driver,DriverNumber,Team,LapNumber,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,TrackStatus,session_order
FP1,ANT,12,Mercedes,10.0,96.672,25.412,29.026,42.234,270.0,259.0,267.0,304.0,MEDIUM,10.0,False,False,1,1
FP1,ANT,12,Mercedes,11.0,96.342,25.549,28.973,41.82,270.0,259.0,269.0,311.0,MEDIUM,11.0,False,False,1,1
FP1,ANT,12,Mercedes,12.0,96.134,25.524,28.924,41.686,269.0,257.0,270.0,305.0,MEDIUM,12.0,False,False,1,1
FP1,ANT,12,Mercedes,13.0,96.162,25.484,28.974,41.704,272.0,259.0,271.0,308.0,MEDIUM,13.0,False,False,1,1
FP1,ANT,12,Mercedes,14.0,96.032,25.442,28.986,41.604,272.0,260.0,270.0,312.0,MEDIUM,14.0,False,False,1,1
FP1,ANT,12,Mercedes,15.0,96.215,25.434,29.13,41.651,273.0,259.0,272.0,312.0,MEDIUM,15.0,False,False,1,1
FP1,ANT,12,Mercedes,16.0,96.222,25.456,29.199,41.567,274.0,261.0,273.0,311.0,MEDIUM,16.0,False,False,1,1
FP1,ANT,12,Mercedes,17.0,96.837,25.555,29.347,41.935,274.0,258.0,273.0,315.0,MEDIUM,17.0,False,False,1,1
FP1,ANT,12,Mercedes,18.0,97.683,25.622,29.594,42.467,277.0,264.0,271.0,332.0,MEDIUM,18.0,False,False,1,1
FP1,ANT,12,Mercedes,19.0,102.759,25.584,29.521,47.654,271.0,256.0,,303.0,MEDIUM,19.0,False,False,1,1
FP1,ANT,12,Mercedes,21.0,92.963,24.508,27.999,40.456,270.0,259.0,259.0,310.0,SOFT,2.0,True,True,1,1
FP1,ANT,12,Mercedes,22.0,123.906,36.075,40.335,47.496,166.0,225.0,276.0,256.0,SOFT,3.0,True,False,1,1
FP1,ANT,12,Mercedes,23.0,96.08,24.396,27.922,43.762,271.0,264.0,227.0,315.0,SOFT,4.0,True,False,1,1
FP1,ANT,12,Mercedes,24.0,138.221,43.672,39.762,54.787,215.0,138.0,276.0,159.0,SOFT,5.0,True,False,1,1
FP1,ANT,12,Mercedes,25.0,92.861,24.267,27.943,40.651,274.0,259.0,255.0,311.0,SOFT,6.0,True,True,1,1
FP1,ANT,12,Mercedes,26.0,114.968,28.544,32.751,53.673,233.0,250.0,,283.0,SOFT,7.0,True,False,1,1
FP1,ANT,12,Mercedes,28.0,130.601,30.68,32.67,67.251,195.0,209.0,78.0,257.0,SOFT,9.0,False,False,1,1
FP1,BEA,87,Haas F1 Team,2.0,118.94,27.89,33.214,57.836,280.0,221.0,271.0,267.0,MEDIUM,2.0,True,True,12,1
FP1,BEA,87,Haas F1 Team,3.0,96.655,25.791,29.026,41.838,271.0,269.0,255.0,308.0,MEDIUM,3.0,True,True,1,1
FP1,BEA,87,Haas F1 Team,4.0,132.672,38.7,43.916,50.056,159.0,162.0,267.0,279.0,MEDIUM,4.0,True,False,1,1
FP1,BEA,87,Haas F1 Team,5.0,97.556,25.527,28.87,43.159,269.0,265.0,115.0,301.0,MEDIUM,5.0,True,False,16,1
FP1,BEA,87,Haas F1 Team,6.0,143.353,47.373,39.444,56.536,166.0,238.0,273.0,280.0,MEDIUM,6.0,True,False,671,1
FP1,BEA,87,Haas F1 Team,7.0,94.95,25.268,28.656,41.026,275.0,276.0,263.0,319.0,MEDIUM,7.0,True,True,12,1
