Driver,DriverNumber,Team,LapNumber,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsPersonalBest,TrackStatus,PitInTime_s,PitOutTime_s
PER,11,Cadillac,9.0,100.219,26.364,30.795,43.06,275.0,264.0,276.0,317.0,MEDIUM,9.0,True,False,1,,
PER,11,Cadillac,10.0,100.653,26.197,30.905,43.551,280.0,267.0,268.0,306.0,MEDIUM,10.0,True,False,1,,
PER,11,Cadillac,11.0,101.515,26.67,31.07,43.775,279.0,263.0,268.0,305.0,MEDIUM,11.0,True,False,1,,
PER,11,Cadillac,12.0,101.729,26.723,30.966,44.04,273.0,264.0,273.0,299.0,MEDIUM,12.0,True,False,1,,
PER,11,Cadillac,13.0,127.204,26.951,36.814,63.439,274.0,200.0,,190.0,MEDIUM,13.0,True,False,124,4144.638,
PER,11,Cadillac,14.0,,51.067,42.917,57.868,258.0,263.0,234.0,161.0,SOFT,1.0,True,False,4,,4170.421
PER,11,Cadillac,15.0,117.01,33.196,31.703,52.111,276.0,253.0,134.0,270.0,SOFT,2.0,True,False,4,,
PER,11,Cadillac,16.0,130.796,35.792,41.114,53.89,251.0,220.0,278.0,280.0,SOFT,3.0,True,False,41,,
PER,11,Cadillac,17.0,99.518,25.837,30.544,43.137,286.0,270.0,273.0,320.0,SOFT,4.0,True,False,1,,
PER,11,Cadillac,18.0,98.862,25.757,30.275,42.83,283.0,269.0,278.0,321.0,SOFT,5.0,True,True,1,,
PER,11,Cadillac,19.0,99.587,26.033,30.681,42.873,288.0,269.0,271.0,322.0,SOFT,6.0,True,False,1,,
ANT,12,Mercedes,1.0,,,31.074,43.499,286.0,279.0,274.0,341.0,MEDIUM,4.0,False,False,12,,
ANT,12,Mercedes,2.0,97.657,25.556,30.057,42.044,292.0,270.0,270.0,319.0,MEDIUM,5.0,False,True,1,,
ANT,12,Mercedes,3.0,97.236,25.701999999999998,29.655,41.879,284.0,271.0,275.0,334.0,MEDIUM,6.0,False,True,1,,
ANT,12,Mercedes,4.0,98.119,25.895,29.735,42.489,287.0,284.0,254.0,338.0,MEDIUM,7.0,False,False,1,,
ANT,12,Mercedes,5.0,98.237,26.344,29.863,42.03,288.0,268.0,276.0,338.0,MEDIUM,8.0,False,False,1,,
ANT,12,Mercedes,6.0,97.251,25.806,29.58,41.865,286.0,269.0,275.0,328.0,MEDIUM,9.0,False,False,1,,
ANT,12,Mercedes,7.0,96.485,25.268,29.319,41.898,280.0,267.0,275.0,327.0,MEDIUM,10.0,False,True,1,,
ANT,12,Mercedes,8.0,96.825,25.23,29.434,42.161,279.0,267.0,276.0,311.0,MEDIUM,11.0,False,False,1,,
ANT,12,Mercedes,9.0,97.077,25.269,29.513,42.295,283.0,270.0,277.0,330.0,MEDIUM,12.0,False,False,1,,
ANT,12,Mercedes,10.0,97.528,25.891,29.814,41.823,290.0,272.0,277.0,331.0,MEDIUM,13.0,False,False,1,,
ANT,12,Mercedes,11.0,97.374,25.595,29.765,42.014,288.0,271.0,276.0,323.0,MEDIUM,14.0,False,False,1,,
ANT,12,Mercedes,12.0,97.066,25.224,29.383,42.459,281.0,270.0,277.0,316.0,MEDIUM,15.0,False,False,1,,
ANT,12,Mercedes,13.0,109.188,25.632,29.773,53.783,287.0,276.0,,316.0,MEDIUM,16.0,False,False,124,4085.124,
ANT,12,Mercedes,14.0,,62.655,42.275,60.048,172.0,246.0,186.0,232.0,SOFT,6.0,False,False,4,,4118.7
ANT,12,Mercedes,15.0,147.874,38.271,43.836,65.767,178.0,161.0,197.0,125.0,SOFT,7.0,False,False,4,,
ANT,12,Mercedes,16.0,139.691,37.138,40.381,62.172,233.0,224.0,264.0,183.0,SOFT,8.0,False,False,41,,
ANT,12,Mercedes,17.0,97.147,25.338,29.298,42.511,290.0,285.0,277.0,313.0,SOFT,9.0,False,False,1,,
ANT,12,Mercedes,18.0,94.76,25.089,28.746,40.925,295.0,275.0,276.0,322.0,SOFT,10.0,False,True,1,,
ANT,12,Mercedes,19.0,95.172,25.024,28.777,41.371,280.0,268.0,272.0,330.0,SOFT,11.0,False,False,1,,
ALO,14,Aston Martin,1.0,,,32.323,46.883,274.0,275.0,270.0,317.0,HARD,1.0,True,False,12,,
ALO,14,Aston Martin,2.0,101.187,26.53,31.172,43.485,270.0,260.0,269.0,316.0,HARD,2.0,True,True,1,,
ALO,14,Aston Martin,3.0,100.195,26.282,30.828,43.085,264.0,262.0,273.0,314.0,HARD,3.0,True,True,1,,
ALO,14,Aston Martin,4.0,99.861,25.903,30.778,43.18,267.0,260.0,271.0,310.0,HARD,4.0,True,True,1,,
ALO,14,Aston Martin,5.0,99.71,25.746,30.72,43.244,276.0,261.0,273.0,312.0,HARD,5.0,True,True,1,,
ALO,14,Aston Martin,6.0,99.255,25.799,30.688,42.768,269.0,260.0,269.0,315.0,HARD,6.0,True,True,1,,
