Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time_s
0 days 01:13:22.455000,13.7,31.8,1028.8,False,26.7,30,0.6,4402.455
0 days 01:14:22.458000,13.8,31.9,1028.8,False,26.6,27,2.0,4462.458
0 days 01:15:22.482000,14.0,31.1,1028.8,False,26.3,18,0.9,4522.482
0 days 01:16:22.491000,13.9,31.6,1028.8,False,26.9,82,0.8,4582.491
0 days 01:17:22.505000,13.9,31.2,1028.8,False,26.7,7,0.9,4642.505
0 days 01:18:22.495000,13.9,31.2,1028.8,False,26.7,7,0.9,4702.495
0 days 01:19:22.496000,13.7,31.8,1028.7,False,27.0,264,0.5,4762.496
0 days 01:20:22.513000,13.9,31.9,1028.6,False,27.5,254,1.2,4822.513
0 days 01:21:22.515000,14.0,31.7,1028.7,False,27.4,240,1.9,4882.515
0 days 01:22:22.529000,14.0,31.4,1028.6,False,27.6,253,1.7,4942.529
0 days 01:23:22.545000,14.0,31.5,1028.5,False,27.7,23,0.5,5002.545
