Driver,Stops,PitLaps
ALB,1,[13.0]
ANT,1,[13.0]
BOT,1,[12.0]
COL,1,[13.0]
HAD,1,[13.0]
HAM,1,[13.0]
LEC,1,[13.0]
LIN,1,[11.0]
NOR,1,[13.0]
PER,1,[13.0]
PIA,1,[13.0]
RUS,1,[13.0]
STR,1,[13.0]
VER,1,[13.0]
