Driver,Stops,PitLaps
ALO,2,"[31.0, 32.0]"
ANT,1,[10.0]
BEA,1,[10.0]
BOT,1,[10.0]
COL,1,[32.0]
GAS,1,[10.0]
HAD,2,"[1.0, 10.0]"
HAM,1,[10.0]
HUL,1,[35.0]
LAW,1,[9.0]
LEC,1,[10.0]
LIN,1,[42.0]
OCO,2,"[29.0, 46.0]"
PER,1,[11.0]
RUS,1,[10.0]
SAI,1,[9.0]
VER,2,"[9.0, 45.0]"
