Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time_s
0 days 00:37:13.701000,14.6,49.3,1026.8,False,18.3,51,6.1,2233.701
0 days 00:38:13.701000,14.7,49.3,1026.6,False,13.8,63,3.8,2293.701
0 days 00:39:13.702000,14.8,50.3,1026.7,False,13.4,57,3.5,2353.702
0 days 00:40:13.721000,14.8,50.3,1026.7,False,13.4,57,3.5,2413.721
0 days 00:41:13.700000,14.9,49.0,1026.7,False,13.2,35,2.7,2473.7
0 days 00:42:13.700000,14.8,48.9,1026.7,False,14.2,56,4.0,2533.7
0 days 00:43:13.716000,14.9,49.4,1026.7,False,14.6,65,4.6,2593.716
0 days 00:44:13.703000,14.9,50.0,1026.7,False,13.0,52,3.4,2653.703
0 days 00:45:13.734000,14.8,50.4,1026.7,False,13.2,58,3.6,2713.734
0 days 00:46:13.724000,14.9,50.7,1026.7,False,13.4,65,4.3,2773.724
0 days 00:47:13.752000,14.9,50.6,1026.8,False,13.6,50,3.7,2833.752
0 days 00:48:13.775000,15.1,50.1,1026.6,False,13.4,64,5.3,2893.775
0 days 00:49:13.785000,15.0,49.5,1026.7,False,13.3,51,6.1,2953.785
0 days 00:50:13.787000,15.0,49.7,1026.6,False,13.6,61,4.8,3013.787
0 days 00:51:13.791000,15.1,50.1,1026.7,False,13.8,61,4.0,3073.791
0 days 00:52:13.776000,15.1,50.3,1026.6,False,13.5,54,5.3,3133.776
0 days 00:53:13.794000,15.1,49.9,1026.5,False,13.9,70,5.0,3193.794
0 days 00:54:13.796000,15.2,50.2,1026.6,False,14.1,65,5.2,3253.796
0 days 00:55:13.798000,15.4,49.3,1026.7,False,14.2,39,6.0,3313.798
0 days 00:56:13.809000,15.2,49.0,1026.6,False,14.5,81,2.9,3373.809
0 days 00:57:13.809000,15.2,49.4,1026.8,False,14.7,60,3.2,3433.809
0 days 00:58:13.813000,15.2,48.2,1026.5,False,15.0,46,4.6,3493.813
0 days 00:59:13.811000,15.2,48.1,1026.6,False,15.3,61,4.6,3553.811
0 days 01:00:13.828000,15.3,48.8,1026.7,False,15.6,58,5.4,3613.828
0 days 01:01:13.823000,15.4,48.6,1026.6,False,16.1,50,4.3,3673.823
0 days 01:02:13.836000,15.4,48.6,1026.6,False,16.1,50,4.3,3733.836
0 days 01:03:13.855000,15.4,48.5,1026.7,False,17.1,67,2.8,3793.855
0 days 01:04:13.861000,15.5,48.6,1026.7,False,17.5,63,3.7,3853.861
0 days 01:05:13.864000,15.5,46.6,1026.6,False,17.8,75,3.9,3913.864
0 days 01:06:13.840000,15.4,45.1,1026.6,False,18.8,70,4.0,3973.84
0 days 01:07:13.880000,15.4,44.9,1026.6,False,18.8,43,4.3,4033.88
0 days 01:08:13.885000,15.5,44.6,1026.4,False,18.9,64,5.5,4093.885
0 days 01:09:13.880000,15.5,44.7,1026.6,False,19.3,57,5.9,4153.88
0 days 01:10:13.885000,15.5,44.1,1026.6,False,19.5,68,4.9,4213.885
0 days 01:11:13.887000,15.5,43.7,1026.5,False,19.8,50,6.7,4273.887
0 days 01:12:13.879000,15.5,43.5,1026.4,False,20.3,77,3.9,4333.879
0 days 01:13:13.902000,15.5,43.5,1026.4,False,20.3,77,3.9,4393.902
0 days 01:14:13.915000,15.5,43.7,1026.4,False,20.4,46,7.1,4453.915
0 days 01:15:13.922000,15.5,43.8,1026.4,False,20.6,46,5.9,4513.922
0 days 01:16:13.910000,15.5,44.8,1026.5,False,21.3,56,4.5,4573.91
0 days 01:17:13.926000,15.5,45.6,1026.4,False,21.6,55,3.6,4633.926
0 days 01:18:13.951000,15.6,45.9,1026.4,False,21.8,65,4.9,4693.951
0 days 01:19:13.949000,15.5,46.5,1026.5,False,22.1,57,3.5,4753.949
0 days 01:20:13.964000,15.6,46.6,1026.5,False,22.7,62,4.0,4813.964
0 days 01:21:13.957000,15.7,46.6,1026.4,False,22.6,52,5.8,4873.957
0 days 01:22:13.972000,15.6,46.4,1026.6,False,22.7,46,3.4,4933.972
